instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
115,25-04-2018,2,0,4,0,1,1,1,24.873347,28.725,77.6667,12.417311,773,3300,4073
116,26-04-2018,2,0,4,0,2,1,1,25.898347,29.70415,72.9167,21.8755,678,3722,4400
117,27-04-2018,2,0,4,0,3,1,2,25.42,28.7571,83.5417,20.9174,547,3325,3872
118,28-04-2018,2,0,4,0,4,1,2,25.3175,28.94645,70.0833,21.500836,569,3489,4058
119,29-04-2018,2,0,4,0,5,1,1,20.91,24.87315,45.7083,16.084221,878,3717,4595
120,30-04-2018,2,0,4,0,6,0,1,19.3725,23.20105,50.3333,15.750025,1965,3347,5312
121,01-05-2018,2,0,5,0,0,0,2,18.518347,22.4102,76.2083,7.125718,1138,2213,3351
122,02-05-2018,2,0,5,0,1,1,2,22.515847,26.64165,73,12.291418,847,3554,4401
123,03-05-2018,2,0,5,0,2,1,2,25.283347,29.10395,69.7083,22.958689,603,3848,4451
124,04-05-2018,2,0,5,0,3,1,2,16.980847,20.2325,73.7083,22.042732,255,2378,2633
125,05-05-2018,2,0,5,0,4,1,1,18.825847,22.09585,44.4167,19.791264,614,3819,4433
126,06-05-2018,2,0,5,0,5,1,1,19.645847,23.70585,59,15.292482,894,3714,4608
127,07-05-2018,2,0,5,0,6,0,1,21.32,25.63105,54.125,10.75015,1612,3102,4714
128,08-05-2018,2,0,5,0,0,0,1,21.661653,25.94665,63.1667,5.0007125,1401,2932,4333
129,09-05-2018,2,0,5,0,1,1,1,21.8325,26.2623,58.875,11.792,664,3698,4362
130,10-05-2018,2,0,5,0,2,1,1,21.8325,26.13605,48.9167,7.749957,694,4109,4803
131,11-05-2018,2,0,5,0,3,1,1,22.2425,26.42,63.2917,8.083014,550,3632,4182
132,12-05-2018,2,0,5,0,4,1,1,21.935,26.16815,74.75,12.707689,695,4169,4864
133,13-05-2018,2,0,5,0,5,1,2,21.0125,24.715,86.3333,12.041575,692,3413,4105
134,14-05-2018,2,0,5,0,6,0,2,21.354153,25.03145,92.25,9.04165,902,2507,3409
135,15-05-2018,2,0,5,0,0,0,2,23.0625,26.8,86.7083,10.249593,1582,2971,4553
136,16-05-2018,2,0,5,0,1,1,1,23.6775,27.5256,78.7917,8.500357,773,3185,3958
137,17-05-2018,2,0,5,0,2,1,2,23.028347,26.92645,83.7917,18.582718,678,3445,4123
138,18-05-2018,2,0,5,0,3,1,2,22.55,26.3579,87,13.499964,536,3319,3855
139,19-05-2018,2,0,5,0,4,1,2,21.764153,25.5371,82.9583,7.250271,735,3840,4575
140,20-05-2018,2,0,5,0,5,1,1,22.003347,26.4521,71.9583,8.375871,909,4008,4917
141,21-05-2018,2,0,5,0,6,0,1,24.7025,28.59875,62.6667,8.08355,2258,3547,5805
142,22-05-2018,2,0,5,0,0,0,1,24.770847,28.725,74.9583,9.916536,1576,3084,4660
143,23-05-2018,2,0,5,0,1,1,2,25.898347,29.5148,81,15.667414,836,3438,4274
144,24-05-2018,2,0,5,0,2,1,2,27.06,30.24065,74.0833,13.875164,659,3833,4492
145,25-05-2018,2,0,5,0,3,1,1,27.094153,30.7771,69.625,10.333611,740,4238,4978
146,26-05-2018,2,0,5,0,4,1,1,29.041653,32.7344,67.75,13.376014,758,3919,4677
147,27-05-2018,2,0,5,0,5,1,1,27.948347,31.8504,65.375,16.125493,871,3808,4679
148,28-05-2018,2,0,5,0,6,0,1,26.889153,30.61895,72.9583,15.416164,2001,2757,4758
149,29-05-2018,2,0,5,0,0,0,1,27.3675,30.7775,81.875,14.333846,2355,2433,4788
150,30-05-2018,2,0,5,1,1,0,1,30.066653,33.5546,68.5,8.792075,1549,2549,4098
151,31-05-2018,2,0,5,0,2,1,1,31.775,36.26915,63.6667,7.459043,673,3309,3982
152,01-06-2018,2,0,6,0,3,1,2,31.330847,36.04835,67.7083,13.875164,513,3461,3974
153,02-06-2018,2,0,6,0,4,1,1,29.315,32.1971,30.5,19.583229,736,4232,4968
154,03-06-2018,2,0,6,0,5,1,1,25.42,29.35665,35.4167,16.959107,898,4414,5312
155,04-06-2018,2,0,6,0,6,0,1,26.035,29.7348,45.625,8.250514,1869,3473,5342
156,05-06-2018,2,0,6,0,0,0,2,26.581653,30.8402,65.25,9.292364,1685,3221,4906
157,06-06-2018,2,0,6,0,1,1,1,27.811653,31.0929,60,8.167032,673,3875,4548
158,07-06-2018,2,0,6,0,2,1,1,29.0075,32.7975,59.7917,12.583136,763,4070,4833
159,08-06-2018,2,0,6,0,3,1,1,31.809153,36.36395,62.2083,9.166739,676,3725,4401
160,09-06-2018,2,0,6,0,4,1,2,33.141653,37.87895,56.8333,10.042161,563,3352,3915
161,10-06-2018,2,0,6,0,5,1,1,30.955,35.1646,60.5,9.417118,815,3771,4586
162,11-06-2018,2,0,6,0,6,0,1,29.725,33.9019,65.4583,10.37495,1729,3237,4966
163,12-06-2018,2,0,6,0,0,0,1,28.3925,32.16625,74.7917,10.958989,1467,2993,4460
164,13-06-2018,2,0,6,0,1,1,1,26.035,30.0827,49.4583,20.45845,863,4157,5020
165,14-06-2018,2,0,6,0,2,1,1,24.770847,29.5773,50.7083,18.041961,727,4164,4891
166,15-06-2018,2,0,6,0,3,1,1,25.693347,29.3877,47.1667,11.250104,769,4411,5180
167,16-06-2018,2,0,6,0,4,1,2,25.761653,29.7673,68.8333,13.833557,545,3222,3767
168,17-06-2018,2,0,6,0,5,1,1,26.615847,30.01915,73.5833,9.582943,863,3981,4844
169,18-06-2018,2,0,6,0,6,0,1,28.563347,32.1977,67.0417,8.000336,1807,3312,5119
170,19-06-2018,2,0,6,0,0,0,2,28.665847,32.2923,66.6667,6.834,1639,3105,4744
171,20-06-2018,2,0,6,0,1,1,2,26.035,29.7673,74.625,10.416825,699,3311,4010
172,21-06-2018,3,0,6,0,2,1,2,27.914153,31.8823,77.0417,11.458675,774,4061,4835
173,22-06-2018,3,0,6,0,3,1,1,30.066653,34.69145,70.75,11.541554,661,3846,4507
174,23-06-2018,3,0,6,0,4,1,2,29.861653,34.69165,70.3333,15.999868,746,4044,4790
175,24-06-2018,3,0,6,0,5,1,1,29.690847,32.82915,57.3333,14.875675,969,4022,4991
176,25-06-2018,3,0,6,0,6,0,1,28.495,32.16565,48.3333,14.041257,1782,3420,5202
177,26-06-2018,3,0,6,0,0,0,1,27.88,31.88145,51.3333,6.3337311,1920,3385,5305
178,27-06-2018,3,0,6,0,1,1,2,27.9825,31.8502,65.8333,7.208396,854,3854,4708
179,28-06-2018,3,0,6,0,2,1,1,30.510847,34.6279,63.4167,9.666961,732,3916,4648
180,29-06-2018,3,0,6,0,3,1,1,29.861653,32.7344,49.7917,17.542007,848,4377,5225
181,30-06-2018,3,0,6,0,4,1,1,28.563347,31.8504,43.4167,12.415904,1027,4488,5515
182,01-07-2018,3,0,7,0,5,1,1,29.6225,32.6081,39.625,6.874736,1246,4116,5362
183,02-07-2018,3,0,7,0,6,0,1,30.271653,33.3654,44.4583,7.709154,2204,2915,5119
184,03-07-2018,3,0,7,0,0,0,2,29.383347,33.42875,68.25,15.333486,2282,2367,4649
185,04-07-2018,3,0,7,1,1,0,2,29.793347,33.27085,63.7917,5.4591064,3065,2978,6043
186,05-07-2018,3,0,7,0,2,1,1,30.613347,34.8169,59.0417,8.459286,1031,3634,4665
187,06-07-2018,3,0,7,0,3,1,1,29.52,34.28165,74.3333,10.042161,784,3845,4629
188,07-07-2018,3,0,7,0,4,1,1,30.75,34.34355,65.125,10.6664,754,3838,4592
189,08-07-2018,3,0,7,0,5,1,2,29.075847,33.52415,75.7917,15.083643,692,3348,4040
190,09-07-2018,3,0,7,0,6,0,1,30.066653,33.2079,60.9167,11.250104,1988,3348,5336
191,10-07-2018,3,0,7,0,0,0,1,30.6475,34.50125,57.8333,12.292557,1743,3138,4881
192,11-07-2018,3,0,7,0,1,1,1,31.2625,36.4902,63.5833,18.916579,723,3363,4086
193,12-07-2018,3,0,7,0,2,1,1,32.560847,36.96375,55.9167,13.417018,662,3596,4258
194,13-07-2018,3,0,7,0,3,1,1,30.613347,34.4702,63.1667,9.790911,748,3594,4342
195,14-07-2018,3,0,7,0,4,1,1,27.914153,31.7552,47.625,16.124689,888,4196,5084
196,15-07-2018,3,0,7,0,5,1,1,27.196653,31.21855,59.125,12.249811,1318,4220,5538
197,16-07-2018,3,0,7,0,6,0,1,28.153347,31.91315,58.5,13.958914,2418,3505,5923
198,17-07-2018,3,0,7,0,0,0,1,29.485847,33.49165,60.4167,16.417211,2006,3296,5302
199,18-07-2018,3,0,7,0,1,1,1,30.613347,35.19625,65.125,14.458868,841,3617,4458
200,19-07-2018,3,0,7,0,2,1,1,31.843347,37.37395,65.0417,8.7502,752,3789,4541
201,20-07-2018,3,0,7,0,3,1,1,31.501653,37.3425,70.7083,7.625739,644,3688,4332
202,21-07-2018,3,0,7,0,4,1,2,33.415,41.31855,69.125,14.875407,632,3152,3784
203,22-07-2018,3,0,7,0,5,1,1,34.781653,42.0448,58.0417,8.9177,562,2825,3387
204,23-07-2018,3,0,7,0,6,0,1,34.815847,40.21435,50,8.791807,987,2298,3285
205,24-07-2018,3,0,7,0,0,0,1,34.03,39.74145,55.0833,11.334457,1050,2556,3606
206,25-07-2018,3,0,7,0,1,1,1,30.476653,36.0479,75.7083,6.0841561,568,3272,3840
207,26-07-2018,3,0,7,0,2,1,1,31.638347,34.84895,54.0833,13.417286,750,3840,4590
208,27-07-2018,3,0,7,0,3,1,1,31.775,34.53335,40.2917,12.292021,755,3901,4656
209,28-07-2018,3,0,7,0,4,1,1,31.945847,36.995,58.3333,11.958093,606,3784,4390
210,29-07-2018,3,0,7,0,5,1,1,34.371653,39.29835,54.25,11.667246,670,3176,3846
211,30-07-2018,3,0,7,0,6,0,1,32.970847,36.42685,46.5833,11.291979,1559,2916,4475
212,31-07-2018,3,0,7,0,0,0,1,33.039153,36.4898,48.0833,11.042471,1524,2778,4302
213,01-08-2018,3,0,8,0,1,1,1,31.638347,35.1646,55.0833,10.500039,729,3537,4266
214,02-08-2018,3,0,8,0,2,1,1,32.116653,35.35355,49.125,13.79195,801,4044,4845
215,03-08-2018,3,0,8,0,3,1,2,29.998347,33.99685,65.75,9.084061,467,3107,3574
216,04-08-2018,3,0,8,0,4,1,2,29.11,33.2394,75.75,13.20905,799,3777,4576
217,05-08-2018,3,0,8,0,5,1,1,29.144153,32.82835,63.0833,12.374632,1023,3843,4866
218,06-08-2018,3,0,8,0,6,0,2,29.383347,33.8077,75.5,15.29275,1521,2773,4294
219,07-08-2018,3,0,8,0,0,0,1,30.4425,35.7646,75.2917,13.499629,1298,2487,3785
220,08-08-2018,3,0,8,0,1,1,1,31.365,35.16415,59.2083,12.875725,846,3480,4326
221,09-08-2018,3,0,8,0,2,1,1,31.775,36.20605,57.0417,10.125107,907,3695,4602
222,10-08-2018,3,0,8,0,3,1,1,31.433347,34.24915,42.4167,13.417286,884,3896,4780
223,11-08-2018,3,0,8,0,4,1,1,29.4175,32.57605,42.375,11.041332,812,3980,4792
224,12-08-2018,3,0,8,0,5,1,1,29.041653,32.7021,41.5,8.416607,1051,3854,4905
225,13-08-2018,3,0,8,0,6,0,2,28.119153,32.2929,72.9583,14.167418,1504,2646,4150
226,14-08-2018,3,0,8,0,0,0,2,27.743347,31.2194,81.75,14.916411,1338,2482,3820
227,15-08-2018,3,0,8,0,1,1,1,27.299153,30.80835,71.2083,13.999918,775,3563,4338
228,16-08-2018,3,0,8,0,2,1,1,28.734153,32.29185,57.8333,15.834043,721,4004,4725
229,17-08-2018,3,0,8,0,3,1,1,29.656653,33.33355,57.5417,9.625689,668,4026,4694
230,18-08-2018,3,0,8,0,4,1,1,29.178347,33.1129,65.4583,15.624936,639,3166,3805
231,19-08-2018,3,0,8,0,5,1,2,28.085,31.66105,72.2917,9.333636,797,3356,4153
232,20-08-2018,3,0,8,0,6,0,1,28.5975,32.4498,67.4167,6.999289,1914,3277,5191
233,21-08-2018,3,0,8,0,0,0,1,29.144153,33.77625,77,16.666518,1249,2624,3873
234,22-08-2018,3,0,8,0,1,1,1,28.358347,31.9127,47,18.54225,833,3925,4758
235,23-08-2018,3,0,8,0,2,1,1,26.274153,30.30335,45.5417,9.833121,1281,4614,5895
236,24-08-2018,3,0,8,0,3,1,1,27.606653,31.5346,60.5,16.958236,949,4181,5130
237,25-08-2018,3,0,8,0,4,1,2,28.050847,32.2927,77.1667,14.125811,435,3107,3542
238,26-08-2018,3,0,8,0,5,1,1,28.7,32.98665,76.125,5.6254875,768,3893,4661
239,27-08-2018,3,0,8,0,6,0,2,27.88,31.7778,85,25.166339,226,889,1115
240,28-08-2018,3,0,8,0,0,0,1,28.989419,32.39795,56.1765,20.412153,1415,2919,4334
241,29-08-2018,3,0,8,0,1,1,1,26.103347,30.3979,55.4583,10.708275,729,3905,4634
242,30-08-2018,3,0,8,0,2,1,1,26.205847,29.7352,54.8333,8.375536,775,4429,5204
243,31-08-2018,3,0,8,0,3,1,1,26.923347,30.55605,59.7917,5.5833311,688,4370,5058
244,01-09-2018,3,0,9,0,4,1,1,26.855,30.74605,63.9167,9.500332,783,4332,5115
245,02-09-2018,3,0,9,0,5,1,2,26.376653,30.2404,72.7083,9.375243,875,3852,4727
246,03-09-2018,3,0,9,0,6,0,1,27.435847,31.66065,71.6667,12.416775,1935,2549,4484
247,04-09-2018,3,0,9,0,0,0,1,29.075847,33.27145,74.2083,13.833289,2521,2419,4940
248,05-09-2018,3,0,9,1,1,0,2,27.606653,31.2823,79.0417,14.250632,1236,2115,3351
249,06-09-2018,3,0,9,0,2,1,3,22.14,25.76,88.6957,23.044181,204,2506,2710
250,07-09-2018,3,0,9,0,3,1,3,24.565847,27.21145,91.7083,6.5003936,118,1878,1996
251,08-09-2018,3,0,9,0,4,1,3,25.990433,27.76805,93.9565,12.914116,153,1689,1842
252,09-09-2018,3,0,9,0,5,1,2,26.65,28.9473,89.7917,8.333393,417,3127,3544
253,10-09-2018,3,0,9,0,6,0,1,27.06,30.3981,75.375,10.291736,1750,3595,5345
254,11-09-2018,3,0,9,0,0,0,1,26.786653,30.46145,71.375,7.708618,1633,3413,5046
255,12-09-2018,3,0,9,0,1,1,1,26.418268,30.1065,69.2174,5.957171,690,4023,4713
256,13-09-2018,3,0,9,0,2,1,1,26.684153,30.1777,71.25,9.500868,701,4062,4763
257,14-09-2018,3,0,9,0,3,1,1,27.606653,31.345,69.7083,11.2091,647,4138,4785
258,15-09-2018,3,0,9,0,4,1,2,23.6775,27.68355,70.9167,18.166782,428,3231,3659
259,16-09-2018,3,0,9,0,5,1,2,19.235847,23.07375,59.0417,11.000261,742,4018,4760
260,17-09-2018,3,0,9,0,6,0,2,20.158347,23.9256,71.8333,12.708225,1434,3077,4511
261,18-09-2018,3,0,9,0,0,0,1,20.8075,24.52685,69.5,11.958361,1353,2921,4274
262,19-09-2018,3,0,9,0,1,1,2,22.515847,26.48375,69,10.166714,691,3848,4539
263,20-09-2018,3,0,9,0,2,1,2,23.028347,26.61085,88.125,9.041918,438,3203,3641
264,21-09-2018,3,0,9,0,3,1,2,24.395,27.52665,90,6.4590814,539,3813,4352
265,22-09-2018,3,0,9,0,4,1,2,25.761653,27.74815,90.2083,8.584375,555,4240,4795
266,23-09-2018,4,0,9,0,5,1,2,24.975847,26.10625,97.25,5.2505689,258,2137,2395
267,24-09-2018,4,0,9,0,6,0,2,24.873347,28.2206,86.25,5.2516811,1776,3647,5423
268,25-09-2018,4,0,9,0,0,0,2,26.000847,28.63185,84.5,3.3754064,1544,3466,5010
269,26-09-2018,4,0,9,0,1,1,2,26.615847,29.4521,84.8333,7.4169,684,3946,4630
270,27-09-2018,4,0,9,0,2,1,2,26.103347,28.72625,88.5417,7.917457,477,3643,4120
271,28-09-2018,4,0,9,0,3,1,2,26.035,28.7579,84.875,9.958143,480,3427,3907
272,29-09-2018,4,0,9,0,4,1,1,25.283347,28.7256,69.9167,11.583161,653,4186,4839
273,30-09-2018,4,0,9,0,5,1,1,23.130847,27.24145,64.75,13.833825,830,4372,5202
274,01-10-2018,4,0,10,0,6,0,2,16.81,20.64315,75.375,19.583832,480,1949,2429
